"","Raya","","ARS","GKP","6.0","4","","1.00"
"","Arrizabalaga","","ARS","GKP","5.0","2.6","","1.00"
"","Meslier","","ARS","GKP","5.0","2.6","","1.00"
"","Gabriel","","ARS","DEF","8.0","4","","1.00"
"","J.Timber","","ARS","DEF","6.5","0","","0.00"
"","Saliba","","ARS","DEF","6.0","0","","0.00"
"","Lewis-Skelly","","ARS","MID","5.5","2","","1.00"
"","Calafiori","","ARS","DEF","5.5","2.5","","1.00"
"","Hincapie","","ARS","DEF","5.5","2.5","","1.00"
"","White","","ARS","DEF","5.5","2.5","","1.00"
"","Mosquera","","ARS","DEF","5.5","2.5","","1.00"
"","Saka","","ARS","MID","9.5","3.2","","1.00"
"","Rice","","ARS","MID","7.5","2.6","","1.00"
"","Eze","","ARS","MID","6.5","2.3","","1.00"
"","Ødegaard","","ARS","MID","6.5","2.3","","1.00"
"","Madueke","","ARS","MID","6.5","2.3","","1.00"
"","Merino","","ARS","MID","6.0","2.1","","1.00"
"","Martinelli","","ARS","MID","6.5","2.3","","1.00"
"","Zubimendi","","ARS","MID","5.5","2","","1.00"
"","Dowman","","ARS","MID","5.5","2","","1.00"
"","Nwaneri","","ARS","MID","5.5","2","","1.00"
"","Fábio Vieira","","ARS","MID","5.5","2","","1.00"
"","Nelson","","ARS","MID","5.5","2","","1.00"
"","Gyökeres","","ARS","FWD","7.5","2.3","","1.00"
"","Havertz","","ARS","FWD","7.5","2.3","","1.00"
"","G.Jesus","","ARS","FWD","6.0","2","","1.00"
"","Bruno G.","","ARS","MID","7.0","2.5","","1.00"
"","Tzolis","","ARS","MID","6.5","2.3","","1.00"
"","Martinez","","AVL","GKP","5.0","2.6","","1.00"
"","M.Bizot","","AVL","GKP","4.5","1.9","","1.00"
"","Digne","","AVL","DEF","4.5","0","","0.00"
"","Konsa","","AVL","DEF","4.5","1.7","","1.00"
"","Cash","","AVL","DEF","4.5","1.7","","1.00"
"","Mings","","AVL","DEF","4.5","1.7","","1.00"
"","Pau","","AVL","DEF","4.5","1.7","","1.00"
"","Bogarde","","AVL","MID","5.0","1.5","","1.00"
"","Maatsen","","AVL","DEF","4.5","1.7","","1.00"
"","Lindelöf","","AVL","DEF","4.5","1.7","","1.00"
"","A.García","","AVL","DEF","4.0","1","","1.00"
"","Nedeljkovic","","AVL","DEF","4.0","1","","1.00"
"","Buendía","","AVL","MID","6.0","2.1","","1.00"
"","Bailey","","AVL","MID","5.5","2","","1.00"
"","McGinn","","AVL","MID","5.5","2","","1.00"
"","Barkley","","AVL","MID","5.0","1.5","","1.00"
"","Kamara","","AVL","MID","5.0","1.5","","1.00"
"","Onana","","AVL","MID","5.0","0","","0.00"
"","Iling Jr","","AVL","MID","5.0","1.5","","1.00"
"","Burrowes","","AVL","MID","4.5","1","","1.00"
"","George Hemmings","","AVL","MID","4.5","1","","1.00"
"","Alysson","","AVL","MID","5.0","1.5","","1.00"
"","Manzambi","","AVL","MID","6.0","0","","0.00"
"","Gomes","","AVL","MID","5.5","0","","0.00"
"","Watkins","","AVL","FWD","8.0","2.5","","1.00"
"","Abraham","","AVL","FWD","5.5","1.3","","0.75"
"","Garnacho","","AVL","MID","6.0","2.1","","1.00"
"","Madjo","","AVL","FWD","5.5","0","","0.00"
"","Petrović","","BOU","GKP","4.5","1.9","","1.00"
"","Forster","","BOU","GKP","4.0","1","","1.00"
"","Dennis","","BOU","GKP","4.0","1","","1.00"
"","Hill","","BOU","DEF","5.5","2.5","","1.00"
"","Truffert","","BOU","DEF","5.5","2.5","","1.00"
"","Diakité","","BOU","DEF","5.0","2.2","","1.00"
"","Milosavljević","","BOU","DEF","5.0","0","","0.00"
"","Smith","","BOU","DEF","4.5","1.7","","1.00"
"","J.Araujo","","BOU","DEF","4.5","0","","0.00"
"","Soler","","BOU","DEF","4.0","0.8","","0.75"
"","Rayan","","BOU","MID","6.5","2.3","","1.00"
"","Tavernier","","BOU","MID","6.0","2.1","","1.00"
"","Scott","","BOU","MID","6.0","2.1","","1.00"
"","Kluivert","","BOU","MID","6.0","2.1","","1.00"
"","Cook","","BOU","MID","5.0","1.5","","1.00"
"","Gannon-Doak","","BOU","MID","5.0","1.5","","1.00"
"","Adams","","BOU","MID","5.0","1.1","","0.75"
"","Brooks","","BOU","MID","5.0","1.1","","0.75"
"","Christie","","BOU","MID","5.0","0","","0.00"
"","Tóth.A","","BOU","MID","5.0","1.5","","1.00"
"","Adli","","BOU","MID","5.0","0","","0.00"
"","Kroupi.Jr","","BOU","MID","7.5","0","","0.00"
"","Evanilson","","BOU","FWD","6.0","2","","1.00"
"","Enes Ünal","","BOU","FWD","5.5","0","","0.00"
"","Rodríguez","","BOU","FWD","6.0","1.5","","0.75"
"","Silva","","BOU","DEF","5.0","2.2","","1.00"
"","Sanchez","","BOU","DEF","4.5","1.7","","1.00"
"","Kelleher","","BRE","GKP","5.0","2.6","","1.00"
"","Valdimarsson","","BRE","GKP","4.5","1.9","","1.00"
"","Collins","","BRE","DEF","5.5","2.5","","1.00"
