"0","PlayersSelected","forInfo","Totals forselectedplayers","0","Merit","Form","Prob. ofAppear-ing","0","GW5","0","0","0","0","0","0","0","0","0","0","GW10","0","Rest OfSeason","PointsSo Far","OfficialChance","OfficialAvailability","SelectedBy %","TransfersIn GW","TransfersOut GW","News"
"✔Click to move selected players to the top","Player","forInfoClick  for player info popup","Team","PosPosition","CostPlayer's current price","MeritHow good the player is in terms of likelihood to score FPL points","FormOver/under-performance over the last 4 gameweeks compared to predicted points","Prob. ofAppear-ingProbability that the player will play at all in the next match","PtsGW5Predicted FPL points for gameweek 5, assuming player appears","ValGW5Predicted points for gameweek 5 per million pounds of the player's current cost","PtsGW6Predicted FPL points for gameweek 6, assuming player appears","PtsNext2Predicted total FPL points up to and including gameweek 6, assuming player appears in each match","PtsGW7Predicted FPL points for gameweek 7, assuming player appears","PtsNext3Predicted total FPL points up to and including gameweek 7, assuming player appears in each match","PtsGW8Predicted FPL points for gameweek 8, assuming player appears","PtsNext4Predicted total FPL points up to and including gameweek 8, assuming player appears in each match","PtsGW9Predicted FPL points for gameweek 9, assuming player appears","PtsNext5Predicted total FPL points up to and including gameweek 9, assuming player appears in each match","PtsGW10Predicted FPL points for gameweek 10, assuming player appears","PtsNext6Predicted total FPL points up to and including gameweek 10, assuming player appears in each match","ValNext6Predicted points over the next six gameweeks per million pounds of the player's current cost","PtsRest OfSeasonPredicted FPL points for the rest of the season","ValueRest OfSeasonPredicted points for the rest of the season per million pounds of the player's current cost","PointsSo Far","OfficialChancePlayer's official chance of playing the next match","OfficialAvailability","SelectedBy %Percentage of managers owning this player","TransfersIn GWNumber of transfers in since the last transfer deadline","TransfersOut GWNumber of transfers out since the last transfer deadline","News"
"","Haaland","","MCI","FWD","15.6","5.85","3.65","0.94","6.2","0.39","5","11.2","6.7","17.9","5.2","23.1","5.9","29","5.2","34.1","2.19","192","12.3","33","100","Available","73.2","166755","22193",""
"","Gibbs-White","","NFO","MID","8","4.58","2.87","0.94","5.2","0.65","4.4","9.6","4.5","14","4.5","18.6","4.4","23","4.6","27.6","3.45","159","19.9","26","100","Available","15.7","579114","33417",""
"","B.Fernandes","","MUN","MID","12","6.14","0.22","0.94","5.2","0.43","6.1","11.3","5","16.3","6","22.3","5","27.3","6.1","33.4","2.78","188","15.7","29","100","Available","40.4","60715","286357",""
"","Saka","","ARS","MID","9.5","5.69","1.98","0.92","5","0.52","5.9","10.9","5","15.8","5.8","21.7","4.8","26.5","6.2","32.7","3.44","184","19.4","30","100","Available","13.0","183567","56101",""
"","Tavernier","","BOU","MID","6.1","4.93","2.71","0.94","4.9","0.81","4.4","9.4","5.4","14.7","4.4","19.2","5.2","24.4","4.6","29","4.76","165","27","29","100","Available","6.2","279510","51146",""
"","Guéhi","","MCI","DEF","6","4.11","2.13","0.93","4.6","0.76","3.5","8.1","4.5","12.5","3.6","16.1","4.1","20.2","3.7","23.9","3.98","134","22.3","26","100","Available","18.5","75714","64967",""
"","Szoboszlai","","LIV","MID","7","5.23","-1.32","0.94","4.5","0.65","4.9","9.4","4.6","14","5.2","19.1","4.8","23.9","4.6","28.5","4.08","167","23.9","18","100","Available","34.7","78652","425525",""
"","Palmer","","CHE","MID","9.7","5.01","0.07","0.93","4.4","0.46","5.1","9.6","4.4","13.9","5.1","19","5","24","4.4","28.4","2.93","161","16.6","26","100","Available","26.9","158926","144415",""
"","Dewsbury-Hall","","EVE","MID","6.5","3.97","-0.89","0.94","4.4","0.68","4","8.4","4","12.4","3.4","15.8","3.6","19.4","4.3","23.7","3.65","131","20.1","17","100","Available","6.2","166502","52233",""
